id,numero_da_amostra,tipo_da_forma_de_abastecimento,ano,mes,data_da_coleta,area,zona,latitude,longitude,parametro,resultado,procedencia_da_coleta,ponto_de_coleta,resultado_original,resultado_numerico,data_coleta,bairro,conforme
14,250104000544,SAA,2025,3,2025-03-27,CAMPINAS DE BROTAS,Urbana,-12.9809882,-38.4786879,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-27,CAMPINAS DE BROTAS,True
15,250104000551,SAA,2025,3,2025-03-27,SETE PORTAS,Urbana,-12.9686314,-38.4967082,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-27,SETE PORTAS,True
16,250104000525,SAA,2025,3,2025-03-26,FAZENDA GRANDE DO RETIRO,Urbana,-12.9474788,-38.4816556,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,FAZENDA GRANDE DO RETIRO,True
17,250104000561,SAA,2025,3,2025-03-27,MONTE SERRAT,Urbana,-12.9293799,-38.5164245,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-27,MONTE SERRAT,True
18,250104000538,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.8865546,-38.419571,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,CAJAZEIRAS,True
19,250104000523,SAA,2025,3,2025-03-25,COSTA AZUL,Urbana,-12.9852244,-38.4374353,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-25,COSTA AZUL,True
20,250104000518,SAA,2025,3,2025-03-25,IMBUI,Urbana,-12.9695384,-38.4323755,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-25,IMBUI,True
21,250104000564,SAA,2025,3,2025-03-31,FEDERACAO,Urbana,-12.9975004,-38.5127773,Escherichia coli,PRESENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,PRESENTE,1.0,2025-03-31,FEDERACAO,False
22,250104000513,SAA,2025,3,2025-03-25,PARALELA,Urbana,-12.9565084,-38.4291786,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-25,PARALELA,True
23,250104000547,SAA,2025,3,2025-03-27,BROTAS,Urbana,-12.9810131,-38.5005866,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-27,BROTAS,True
24,250104000546,SAA,2025,3,2025-03-27,DANIEL LISBOA,Urbana,-12.9852761,-38.488064,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-27,DANIEL LISBOA,True
25,250104000537,SAA,2025,3,2025-03-26,AGUAS CLARAS,Urbana,-12.8887609,-38.4208856,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,AGUAS CLARAS,True
26,250104000557,SAA,2025,3,2025-03-27,RIBEIRA,Urbana,-12.9161779,-38.4973911,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-27,RIBEIRA,True
27,250104000540,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.8969197,-38.405897,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,CAJAZEIRAS,True
28,250104000534,SAA,2025,3,2025-03-26,VALERIA,Urbana,-12.8730556,-38.4352778,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,VALERIA,True
29,250104000524,SAA,2025,3,2025-03-26,FAZENDA GRANDE DO RETIRO,Urbana,-12.9483085,-38.4790421,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,FAZENDA GRANDE DO RETIRO,True
30,250104000521,SAA,2025,3,2025-03-25,BOCA DO RIO,Urbana,-12.9735981,-38.4259731,Escherichia coli,AUSENTE,ESTAÇÃO DE TRATAMENTO DE ÁGUA,Saída de tratamento/pós-desinfecção,AUSENTE,0.0,2025-03-25,BOCA DO RIO,True
31,250104000517,SAA,2025,3,2025-03-25,BOCA DO RIO,Urbana,-12.9786105,-38.4322751,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-25,BOCA DO RIO,True
32,250104000549,SAA,2025,3,2025-03-27,MATATU,Urbana,-12.9771454,-38.4951725,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Reservatório de distribuição,AUSENTE,0.0,2025-03-27,MATATU,True
33,250104000545,SAA,2025,3,2025-03-27,BROTAS,Urbana,-12.9907486,-38.485112,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-27,BROTAS,True
34,250104000542,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.881804,-38.4111157,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,CAJAZEIRAS,True
35,250104000514,SAA,2025,3,2025-03-25,PARALELA,Urbana,-12.9514076,-38.4297578,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-25,PARALELA,True
36,250104000519,SAA,2025,3,2025-03-25,JARDIM ARMAÇÃO,Urbana,-12.9963548,-38.4497756,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-25,JARDIM ARMAÇÃO,True
37,250104000527,SAA,2025,3,2025-03-26,FAZENDA GRANDE DO RETIRO,Urbana,-12.941824,-38.4830356,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,FAZENDA GRANDE DO RETIRO,True
38,250104000558,SAA,2025,3,2025-03-27,BONFIM,Urbana,-12.9223068,-38.5085944,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-27,BONFIM,True
39,250104000539,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.8979121,-38.4129377,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,CAJAZEIRAS,True
40,250104000536,SAA,2025,3,2025-03-26,AGUAS CLARAS,Urbana,-12.8937081,-38.440751,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,AGUAS CLARAS,True
41,250104000530,SAA,2025,3,2025-03-26,SAO CAETANO,Urbana,-12.9368449,-38.4886624,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-26,SAO CAETANO,True
42,250104000520,SAA,2025,3,2025-03-25,BOCA DO RIO,Urbana,-12.9735981,-38.4259731,Escherichia coli,AUSENTE,ESTAÇÃO DE TRATAMENTO DE ÁGUA,Saída de tratamento/pós-desinfecção,AUSENTE,0.0,2025-03-25,BOCA DO RIO,True
43,250104000511,SAA,2025,3,2025-03-25,SANTA CRUZ,Urbana,-13.0036119,-38.4785485,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-25,SANTA CRUZ,True
44,250104000535,SAA,2025,3,2025-03-26,AGUAS CLARAS,Urbana,-12.8937081,-38.440751,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Reservatório de distribuição,AUSENTE,0.0,2025-03-26,AGUAS CLARAS,True
45,250104000555,SAA,2025,3,2025-03-27,MASSARANDUBA,Urbana,-12.9282909,-38.497982,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-27,MASSARANDUBA,True
46,250104000510,SAA,2025,3,2025-03-25,RIO VERMELHO,Urbana,-12.99692,-38.47755,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-25,RIO VERMELHO,True
47,250104000543,SAA,2025,3,2025-03-27,CAMPINAS DE BROTAS,Urbana,-12.9822708,-38.4778317,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Reservatório de distribuição,AUSENTE,0.0,2025-03-27,CAMPINAS DE BROTAS,True
48,250104000522,SAA,2025,3,2025-03-25,STIEP,Urbana,-12.9802634,-38.4491574,Escherichia coli,AUSENTE,SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,AUSENTE,0.0,2025-03-25,STIEP,True
49,250104000546,SAA,2025,3,2025-03-27,DANIEL LISBOA,Urbana,-12.9852761,-38.488064,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,DANIEL LISBOA,True
50,250104000522,SAA,2025,3,2025-03-25,STIEP,Urbana,-12.9802634,-38.4491574,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,STIEP,True
51,250104000517,SAA,2025,3,2025-03-25,BOCA DO RIO,Urbana,-12.9786105,-38.4322751,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,BOCA DO RIO,True
52,250104000534,SAA,2025,3,2025-03-26,VALERIA,Urbana,-12.8730556,-38.4352778,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,VALERIA,True
53,250104000551,SAA,2025,3,2025-03-27,SETE PORTAS,Urbana,-12.9686314,-38.4967082,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,SETE PORTAS,True
54,250104000510,SAA,2025,3,2025-03-25,RIO VERMELHO,Urbana,-12.99692,-38.47755,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,RIO VERMELHO,True
55,250104000550,SAA,2025,3,2025-03-27,LUIS ANSELMO,Urbana,-12.9754055,-38.4870492,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,LUIS ANSELMO,True
56,250104000559,SAA,2025,3,2025-03-27,BONFIM,Urbana,-12.9245802,-38.5105627,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,BONFIM,True
57,250104000530,SAA,2025,3,2025-03-26,SAO CAETANO,Urbana,-12.9368449,-38.4886624,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,SAO CAETANO,True
58,250104000535,SAA,2025,3,2025-03-26,AGUAS CLARAS,Urbana,-12.8937081,-38.440751,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Reservatório de distribuição,"0,02",0.02,2025-03-26,AGUAS CLARAS,True
59,250104000542,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.881804,-38.4111157,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,CAJAZEIRAS,True
60,250104000533,SAA,2025,3,2025-03-26,VALERIA,Urbana,-12.8792686,-38.4385021,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,VALERIA,True
61,250104000536,SAA,2025,3,2025-03-26,AGUAS CLARAS,Urbana,-12.8937081,-38.440751,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,AGUAS CLARAS,True
62,250104000545,SAA,2025,3,2025-03-27,BROTAS,Urbana,-12.9907486,-38.485112,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,BROTAS,True
63,250104000552,SAA,2025,3,2025-03-27,VASCO DA GAMA,Urbana,-12.9916326,-38.5020801,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,VASCO DA GAMA,True
64,250104000537,SAA,2025,3,2025-03-26,AGUAS CLARAS,Urbana,-12.8887609,-38.4208856,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,AGUAS CLARAS,True
65,250104000541,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.890687,-38.4088068,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,CAJAZEIRAS,True
66,250104000558,SAA,2025,3,2025-03-27,BONFIM,Urbana,-12.9223068,-38.5085944,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,BONFIM,True
67,250104000524,SAA,2025,3,2025-03-26,FAZENDA GRANDE DO RETIRO,Urbana,-12.9483085,-38.4790421,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,FAZENDA GRANDE DO RETIRO,True
68,250104000515,SAA,2025,3,2025-03-25,BOCA DO RIO,Urbana,-12.9737117,-38.4324085,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,BOCA DO RIO,True
69,250104000556,SAA,2025,3,2025-03-27,MASSARANDUBA,Urbana,-12.9253958,-38.5019419,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,MASSARANDUBA,True
70,250104000516,SAA,2025,3,2025-03-25,BOCA DO RIO,Urbana,-12.9797437,-38.436922,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,BOCA DO RIO,True
71,250104000549,SAA,2025,3,2025-03-27,MATATU,Urbana,-12.9771454,-38.4951725,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Reservatório de distribuição,"0,02",0.02,2025-03-27,MATATU,True
72,250104000544,SAA,2025,3,2025-03-27,CAMPINAS DE BROTAS,Urbana,-12.9809882,-38.4786879,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,CAMPINAS DE BROTAS,True
73,250104000526,SAA,2025,3,2025-03-26,FAZENDA GRANDE DO RETIRO,Urbana,-12.9497186,-38.4784136,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,FAZENDA GRANDE DO RETIRO,True
74,250104000511,SAA,2025,3,2025-03-25,SANTA CRUZ,Urbana,-13.0036119,-38.4785485,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,SANTA CRUZ,True
75,250104000563,SAA,2025,3,2025-03-27,CAMINHO DE AREIA,Urbana,-12.9299165,-38.5055196,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,CAMINHO DE AREIA,True
76,250104000531,SAA,2025,3,2025-03-26,PIRAJA,Urbana,-12.8983029,-38.4584337,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Reservatório de distribuição,"0,02",0.02,2025-03-26,PIRAJA,True
77,250104000547,SAA,2025,3,2025-03-27,BROTAS,Urbana,-12.9810131,-38.5005866,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,BROTAS,True
78,250104000519,SAA,2025,3,2025-03-25,JARDIM ARMAÇÃO,Urbana,-12.9963548,-38.4497756,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,JARDIM ARMAÇÃO,True
79,250104000555,SAA,2025,3,2025-03-27,MASSARANDUBA,Urbana,-12.9282909,-38.497982,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,MASSARANDUBA,True
80,250104000548,SAA,2025,3,2025-03-27,COSME DE FARIAS,Urbana,-12.9811113,-38.4887994,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,COSME DE FARIAS,True
81,250104000539,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.8979121,-38.4129377,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,CAJAZEIRAS,True
82,250104000520,SAA,2025,3,2025-03-25,BOCA DO RIO,Urbana,-12.9735981,-38.4259731,Turbidez (uT),"0,02",ESTAÇÃO DE TRATAMENTO DE ÁGUA,Saída de tratamento/pós-desinfecção,"0,02",0.02,2025-03-25,BOCA DO RIO,True
83,250104000527,SAA,2025,3,2025-03-26,FAZENDA GRANDE DO RETIRO,Urbana,-12.941824,-38.4830356,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,FAZENDA GRANDE DO RETIRO,True
84,250104000523,SAA,2025,3,2025-03-25,COSTA AZUL,Urbana,-12.9852244,-38.4374353,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,COSTA AZUL,True
85,250104000521,SAA,2025,3,2025-03-25,BOCA DO RIO,Urbana,-12.9735981,-38.4259731,Turbidez (uT),"0,02",ESTAÇÃO DE TRATAMENTO DE ÁGUA,Saída de tratamento/pós-desinfecção,"0,02",0.02,2025-03-25,BOCA DO RIO,True
86,250104000540,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.8969197,-38.405897,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,CAJAZEIRAS,True
87,250104000564,SAA,2025,3,2025-03-31,FEDERACAO,Urbana,-12.9975004,-38.5127773,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-31,FEDERACAO,True
88,250104000561,SAA,2025,3,2025-03-27,MONTE SERRAT,Urbana,-12.9293799,-38.5164245,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,MONTE SERRAT,True
89,250104000543,SAA,2025,3,2025-03-27,CAMPINAS DE BROTAS,Urbana,-12.9822708,-38.4778317,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Reservatório de distribuição,"0,02",0.02,2025-03-27,CAMPINAS DE BROTAS,True
90,250104000514,SAA,2025,3,2025-03-25,PARALELA,Urbana,-12.9514076,-38.4297578,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,PARALELA,True
91,250104000513,SAA,2025,3,2025-03-25,PARALELA,Urbana,-12.9565084,-38.4291786,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,PARALELA,True
92,250104000518,SAA,2025,3,2025-03-25,IMBUI,Urbana,-12.9695384,-38.4323755,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-25,IMBUI,True
93,250104000538,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.8865546,-38.419571,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,CAJAZEIRAS,True
94,250104000525,SAA,2025,3,2025-03-26,FAZENDA GRANDE DO RETIRO,Urbana,-12.9474788,-38.4816556,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-26,FAZENDA GRANDE DO RETIRO,True
95,250104000560,SAA,2025,3,2025-03-27,MONTE SERRAT,Urbana,-12.9576787,-38.4968458,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,MONTE SERRAT,True
96,250104000557,SAA,2025,3,2025-03-27,RIBEIRA,Urbana,-12.9161779,-38.4973911,Turbidez (uT),"0,02",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,02",0.02,2025-03-27,RIBEIRA,True
97,250104000535,SAA,2025,3,2025-03-26,AGUAS CLARAS,Urbana,-12.8937081,-38.440751,Cloro residual livre (mg/L),"3,68",SISTEMA DE DISTRIBUIÇÃO,Reservatório de distribuição,"3,68",3.68,2025-03-26,AGUAS CLARAS,False
98,250104000513,SAA,2025,3,2025-03-25,PARALELA,Urbana,-12.9565084,-38.4291786,Cloro residual livre (mg/L),"0,82",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,82",0.82,2025-03-25,PARALELA,True
99,250104000510,SAA,2025,3,2025-03-25,RIO VERMELHO,Urbana,-12.99692,-38.47755,Cloro residual livre (mg/L),"0,17",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"0,17",0.17,2025-03-25,RIO VERMELHO,False
100,250104000519,SAA,2025,3,2025-03-25,JARDIM ARMAÇÃO,Urbana,-12.9963548,-38.4497756,Cloro residual livre (mg/L),"2,59",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"2,59",2.59,2025-03-25,JARDIM ARMAÇÃO,False
101,250104000521,SAA,2025,3,2025-03-25,BOCA DO RIO,Urbana,-12.9735981,-38.4259731,Cloro residual livre (mg/L),"3,00",ESTAÇÃO DE TRATAMENTO DE ÁGUA,Saída de tratamento/pós-desinfecção,"3,00",3.0,2025-03-25,BOCA DO RIO,False
102,250104000522,SAA,2025,3,2025-03-25,STIEP,Urbana,-12.9802634,-38.4491574,Cloro residual livre (mg/L),"2,41",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"2,41",2.41,2025-03-25,STIEP,False
103,250104000538,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.8865546,-38.419571,Cloro residual livre (mg/L),"1,97",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"1,97",1.97,2025-03-26,CAJAZEIRAS,True
104,250104000540,SAA,2025,3,2025-03-26,CAJAZEIRAS,Urbana,-12.8969197,-38.405897,Cloro residual livre (mg/L),"2,86",SISTEMA DE DISTRIBUIÇÃO,Cavalete/Hidrômetro,"2,86",2.86,2025-03-26,CAJAZEIRAS,False
